,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,min_travel_time
214672,2015-07-01 16:01:12,2015-07-01 16:17:19,1,2.16,-73.97389221191406,40.75566864013672,-73.98684692382812,40.731231689453125,967
214674,2015-07-01 16:01:12,2015-07-01 16:04:42,1,0.47,-73.9862060546875,40.75508499145508,-73.99114990234375,40.74983215332031,210
214681,2015-07-01 16:01:13,2015-07-01 16:28:32,1,3.17,-74.01077270507811,40.71630096435546,-73.9918212890625,40.74699783325195,1639
214676,2015-07-01 16:01:13,2015-07-01 16:06:07,1,0.3,-73.990478515625,40.744476318359375,-73.9857406616211,40.74213790893555,294
214678,2015-07-01 16:01:13,2015-07-01 16:22:41,1,2.2,-73.98763275146483,40.743850708007805,-73.96143341064453,40.7562370300293,1288
214680,2015-07-01 16:01:13,2015-07-01 16:16:14,1,1.7,-73.98818969726561,40.759368896484375,-74.0039520263672,40.74311065673828,901
214684,2015-07-01 16:01:14,2015-07-01 16:23:47,2,3.79,-73.99052429199219,40.74103164672852,-74.01616668701173,40.70788192749024,1353
214683,2015-07-01 16:01:14,2015-07-01 16:09:31,2,1.13,-73.99507141113281,40.760078430175774,-73.98210906982422,40.76409912109375,497
214691,2015-07-01 16:01:18,2015-07-01 16:16:45,3,1.7,-73.99120330810547,40.775703430175774,-73.97057342529298,40.76356506347656,927
214695,2015-07-01 16:01:19,2015-07-01 16:21:52,2,2.3,-73.96591186523438,40.75847244262695,-73.99269104003906,40.743030548095696,1233
214699,2015-07-01 16:01:20,2015-07-01 16:26:59,1,5.39,-74.01605987548828,40.711124420166016,-73.98945617675781,40.73962020874024,1539
214700,2015-07-01 16:01:20,2015-07-01 16:11:59,3,1.99,-74.01027679443358,40.71094131469727,-74.00401306152342,40.736549377441406,639
214701,2015-07-01 16:01:21,2015-07-01 16:04:05,1,0.7,-73.9787368774414,40.7476692199707,-73.98524475097656,40.73981475830078,164
214703,2015-07-01 16:01:21,2015-07-01 16:18:55,1,0.79,-73.99984741210938,40.74839019775391,-73.99122619628906,40.75493621826172,1054
214704,2015-07-01 16:01:21,2015-07-01 16:43:48,1,4.66,-74.00418090820312,40.71646118164063,-73.98710632324217,40.75948715209961,2547
214705,2015-07-01 16:01:22,2015-07-01 16:10:14,1,1.1,-73.98883056640625,40.73646926879882,-74.00759887695312,40.740997314453125,532
214706,2015-07-01 16:01:22,2015-07-01 16:06:54,1,0.7,-73.97212982177734,40.7603645324707,-73.96591186523438,40.75411987304688,332
214707,2015-07-01 16:01:22,2015-07-01 16:07:59,1,0.5,-73.97805786132812,40.762786865234375,-73.96996307373048,40.75772857666016,397
214708,2015-07-01 16:01:22,2015-07-01 16:13:23,6,1.42,-74.01001739501953,40.70941925048828,-73.99234771728516,40.71510314941406,721
214715,2015-07-01 16:01:23,2015-07-01 16:30:14,1,2.6,-74.0095443725586,40.73942565917969,-73.98036193847656,40.75092697143555,1731
214713,2015-07-01 16:01:23,2015-07-01 16:07:03,1,1.3,-73.99103546142578,40.74978256225586,-73.9994888305664,40.73486328125,340
214712,2015-07-01 16:01:23,2015-07-01 16:17:45,1,1.3,-73.9730224609375,40.75630569458008,-73.989501953125,40.755767822265625,982
214711,2015-07-01 16:01:23,2015-07-01 16:10:35,1,1.8,-74.0045394897461,40.74167251586913,-74.0089340209961,40.722782135009766,552
214717,2015-07-01 16:01:24,2015-07-01 16:28:09,3,3.6,-74.01293182373048,40.702484130859375,-74.00220489501953,40.7505111694336,1605
214718,2015-07-01 16:01:24,2015-07-01 16:08:13,1,0.4,-73.97068786621094,40.76176071166992,-73.97740173339844,40.76092529296875,409
214720,2015-07-01 16:01:24,2015-07-01 16:06:00,5,0.95,-73.9908905029297,40.727169036865234,-73.97942352294923,40.734878540039055,276
214722,2015-07-01 16:01:25,2015-07-01 16:03:29,1,0.7,-73.9957275390625,40.75965118408203,-73.9910430908203,40.76863098144531,124
214726,2015-07-01 16:01:25,2015-07-01 16:30:53,1,3.51,-73.99855041503906,40.719829559326165,-73.96942901611328,40.76310348510742,1768
214727,2015-07-01 16:01:26,2015-07-01 16:11:50,1,0.6,-73.98653411865233,40.76267623901367,-73.98756408691406,40.75480270385742,624
214728,2015-07-01 16:01:26,2015-07-01 16:11:56,2,0.9,-73.99832153320312,40.72005462646485,-73.98558807373048,40.72195816040039,630
214730,2015-07-01 16:01:26,2015-07-01 16:12:29,1,1.08,-73.983642578125,40.76002883911133,-73.99266815185547,40.74671173095703,663
214731,2015-07-01 16:01:26,2015-07-01 16:15:28,2,1.63,-73.99061584472656,40.74372100830078,-73.98452758789062,40.76321029663086,842
214738,2015-07-01 16:01:27,2015-07-01 16:15:01,1,1.4,-73.97329711914062,40.763282775878906,-73.98967742919923,40.77431488037109,814
214737,2015-07-01 16:01:27,2015-07-01 16:06:30,2,0.6,-73.97461700439453,40.75626373291016,-73.96347045898438,40.75489044189453,303
214736,2015-07-01 16:01:27,2015-07-01 16:07:52,1,0.6,-73.97088623046875,40.7583122253418,-73.97286224365233,40.751197814941406,385
214734,2015-07-01 16:01:27,2015-07-01 16:04:33,1,0.2,-73.98291015625,40.754253387451165,-73.97818756103516,40.751914978027344,186
214733,2015-07-01 16:01:27,2015-07-01 16:13:50,1,1.0,-73.99766540527344,40.7240104675293,-74.00364685058594,40.730587005615234,743
214740,2015-07-01 16:01:28,2015-07-01 16:10:03,1,1.2,-73.98689270019531,40.71451187133789,-73.98098754882812,40.72732925415039,515
214741,2015-07-01 16:01:28,2015-07-01 16:37:29,4,2.9,-73.99954223632812,40.72188568115234,-73.98767852783203,40.75552368164063,2161
214742,2015-07-01 16:01:28,2015-07-01 16:27:41,3,2.3,-74.00732421875,40.7303123474121,-73.98592376708984,40.753360748291016,1573
214743,2015-07-01 16:01:28,2015-07-01 16:26:11,1,1.17,-73.98250579833984,40.74540328979492,-73.99945831298828,40.75379180908203,1483
214746,2015-07-01 16:01:28,2015-07-01 16:13:09,2,0.75,-73.97862243652342,40.75014114379882,-73.99089813232422,40.75542831420898,701
214747,2015-07-01 16:01:28,2015-07-01 16:16:31,5,1.74,-73.99078369140625,40.75541305541992,-73.99458312988281,40.74066925048828,903
214749,2015-07-01 16:01:29,2015-07-01 16:17:42,1,1.9,-73.97525787353516,40.7652473449707,-73.98027801513672,40.74330139160156,973
214751,2015-07-01 16:01:29,2015-07-01 16:29:01,1,2.81,-73.99562072753906,40.724891662597656,-73.97360229492188,40.76008987426758,1652
